cve_id,arm,k,action,target_rule_id,rules_hash_pre,rules_hash_post,rules_yaml_bytes_pre,rules_yaml_bytes_post,rules_yaml_changed,findings_hash,findings_changed_vs_k0
CVE-2023-4033,semgrep,0,refine,,548f37a35d7f8dd4,26b623d77a827839,2630,2455,True,0e5b1d465526614c,False
CVE-2023-4033,semgrep,1,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,0e5b1d465526614c,False
CVE-2023-4033,semgrep,2,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,0e5b1d465526614c,False
CVE-2023-4033,semgrep,3,,,26b623d77a827839,26b623d77a827839,2455,2455,False,0e5b1d465526614c,False
CVE-2023-40267,semgrep,0,refine,,548f37a35d7f8dd4,26b623d77a827839,2630,2455,True,4632d135e0c7d8b3,False
CVE-2023-40267,semgrep,1,keep,,26b623d77a827839,26b623d77a827839,2455,2455,False,4632d135e0c7d8b3,False
CVE-2023-40267,semgrep,2,keep,,26b623d77a827839,26b623d77a827839,2455,2455,False,4632d135e0c7d8b3,False
CVE-2023-40267,semgrep,3,,,26b623d77a827839,26b623d77a827839,2455,2455,False,4632d135e0c7d8b3,False
CVE-2023-40581,semgrep,0,refine,,548f37a35d7f8dd4,26b623d77a827839,2630,2455,True,11832a2ae62de84e,False
CVE-2023-40581,semgrep,1,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,11832a2ae62de84e,False
CVE-2023-40581,semgrep,2,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,11832a2ae62de84e,False
CVE-2023-40581,semgrep,3,,,26b623d77a827839,26b623d77a827839,2455,2455,False,11832a2ae62de84e,False
CVE-2023-5002,semgrep,0,refine,,548f37a35d7f8dd4,26b623d77a827839,2630,2455,True,399551ab0024d64d,False
CVE-2023-5002,semgrep,1,keep,,26b623d77a827839,26b623d77a827839,2455,2455,False,399551ab0024d64d,False
CVE-2023-5002,semgrep,2,keep,,26b623d77a827839,26b623d77a827839,2455,2455,False,399551ab0024d64d,False
CVE-2023-5002,semgrep,3,,,26b623d77a827839,26b623d77a827839,2455,2455,False,399551ab0024d64d,False
CVE-2023-38673,semgrep,0,refine,,548f37a35d7f8dd4,26b623d77a827839,2630,2455,True,af16f092fe58494a,False
CVE-2023-38673,semgrep,1,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,af16f092fe58494a,False
CVE-2023-38673,semgrep,2,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,af16f092fe58494a,False
CVE-2023-38673,semgrep,3,,,26b623d77a827839,26b623d77a827839,2455,2455,False,af16f092fe58494a,False
CVE-2023-6018,semgrep,0,refine,,548f37a35d7f8dd4,26b623d77a827839,2630,2455,True,ba1e53205e1e6a93,False
CVE-2023-6018,semgrep,1,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,ba1e53205e1e6a93,False
CVE-2023-6018,semgrep,2,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,ba1e53205e1e6a93,False
CVE-2023-6018,semgrep,3,,,26b623d77a827839,26b623d77a827839,2455,2455,False,ba1e53205e1e6a93,False
CVE-2023-24816,semgrep,0,keep,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,72868e1790f97b7b,False
CVE-2023-24816,semgrep,1,refine,,548f37a35d7f8dd4,26b623d77a827839,2630,2455,True,72868e1790f97b7b,False
CVE-2023-24816,semgrep,2,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,72868e1790f97b7b,False
CVE-2023-24816,semgrep,3,,,26b623d77a827839,26b623d77a827839,2455,2455,False,72868e1790f97b7b,False
CVE-2023-52311,semgrep,0,refine,,548f37a35d7f8dd4,26b623d77a827839,2630,2455,True,bb87970636b2eaf4,False
CVE-2023-52311,semgrep,1,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,bb87970636b2eaf4,False
CVE-2023-52311,semgrep,2,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,bb87970636b2eaf4,False
CVE-2023-52311,semgrep,3,,,26b623d77a827839,26b623d77a827839,2455,2455,False,bb87970636b2eaf4,False
CVE-2023-52314,semgrep,0,refine,,548f37a35d7f8dd4,26b623d77a827839,2630,2455,True,93133e39af0e51f2,False
CVE-2023-52314,semgrep,1,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,93133e39af0e51f2,False
CVE-2023-52314,semgrep,2,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,93133e39af0e51f2,False
CVE-2023-52314,semgrep,3,,,26b623d77a827839,26b623d77a827839,2455,2455,False,93133e39af0e51f2,False
CVE-2023-52310,semgrep,0,refine,,548f37a35d7f8dd4,26b623d77a827839,2630,2455,True,55eb1227e519f67a,False
CVE-2023-52310,semgrep,1,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,55eb1227e519f67a,False
CVE-2023-52310,semgrep,2,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,55eb1227e519f67a,False
CVE-2023-52310,semgrep,3,,,26b623d77a827839,26b623d77a827839,2455,2455,False,55eb1227e519f67a,False
CVE-2024-47821,semgrep,0,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2024-47821,semgrep,1,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2024-47821,semgrep,2,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2024-47821,semgrep,3,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2024-53899,semgrep,0,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2024-53899,semgrep,1,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2024-53899,semgrep,2,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2024-53899,semgrep,3,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2024-52803,semgrep,0,refine,,548f37a35d7f8dd4,26b623d77a827839,2630,2455,True,e4a20c8862ce0ebc,False
CVE-2024-52803,semgrep,1,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,e4a20c8862ce0ebc,False
CVE-2024-52803,semgrep,2,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,e4a20c8862ce0ebc,False
CVE-2024-52803,semgrep,3,,,26b623d77a827839,26b623d77a827839,2455,2455,False,e4a20c8862ce0ebc,False
CVE-2024-34073,semgrep,0,refine,,548f37a35d7f8dd4,26b623d77a827839,2630,2455,True,07c33ca72842073e,False
CVE-2024-34073,semgrep,1,keep,,26b623d77a827839,26b623d77a827839,2455,2455,False,07c33ca72842073e,False
CVE-2024-34073,semgrep,2,keep,,26b623d77a827839,26b623d77a827839,2455,2455,False,07c33ca72842073e,False
CVE-2024-34073,semgrep,3,,,26b623d77a827839,26b623d77a827839,2455,2455,False,07c33ca72842073e,False
CVE-2024-29189,semgrep,0,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2024-29189,semgrep,1,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2024-29189,semgrep,2,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2024-29189,semgrep,3,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2025-58180,semgrep,0,refine,,548f37a35d7f8dd4,26b623d77a827839,2630,2455,True,e35c46a920d04ad2,False
CVE-2025-58180,semgrep,1,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,e35c46a920d04ad2,False
CVE-2025-58180,semgrep,2,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,e35c46a920d04ad2,False
CVE-2025-58180,semgrep,3,,,26b623d77a827839,26b623d77a827839,2455,2455,False,e35c46a920d04ad2,False
CVE-2025-55037,semgrep,0,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2025-55037,semgrep,1,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2025-55037,semgrep,2,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2025-55037,semgrep,3,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2025-62703,semgrep,0,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2025-62703,semgrep,1,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2025-62703,semgrep,2,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2025-62703,semgrep,3,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2025-12763,semgrep,0,refine,,548f37a35d7f8dd4,26b623d77a827839,2630,2455,True,577bc72df6578d16,False
CVE-2025-12763,semgrep,1,keep,,26b623d77a827839,26b623d77a827839,2455,2455,False,577bc72df6578d16,False
CVE-2025-12763,semgrep,2,keep,,26b623d77a827839,26b623d77a827839,2455,2455,False,577bc72df6578d16,False
CVE-2025-12763,semgrep,3,,,26b623d77a827839,26b623d77a827839,2455,2455,False,577bc72df6578d16,False
CVE-2025-60787,semgrep,0,refine,,548f37a35d7f8dd4,26b623d77a827839,2630,2455,True,7abe0c80f40de495,False
CVE-2025-60787,semgrep,1,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,7abe0c80f40de495,False
CVE-2025-60787,semgrep,2,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,7abe0c80f40de495,False
CVE-2025-60787,semgrep,3,,,26b623d77a827839,26b623d77a827839,2455,2455,False,7abe0c80f40de495,False
CVE-2025-47782,semgrep,0,refine,,548f37a35d7f8dd4,26b623d77a827839,2630,2455,True,cfb43b2c9051bb20,False
CVE-2025-47782,semgrep,1,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,cfb43b2c9051bb20,False
CVE-2025-47782,semgrep,2,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,cfb43b2c9051bb20,False
CVE-2025-47782,semgrep,3,,,26b623d77a827839,26b623d77a827839,2455,2455,False,cfb43b2c9051bb20,False
CVE-2024-53305,semgrep,0,refine,,548f37a35d7f8dd4,26b623d77a827839,2630,2455,True,c45d024f695ee8ed,False
CVE-2024-53305,semgrep,1,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,c45d024f695ee8ed,False
CVE-2024-53305,semgrep,2,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,c45d024f695ee8ed,False
CVE-2024-53305,semgrep,3,,,26b623d77a827839,26b623d77a827839,2455,2455,False,c45d024f695ee8ed,False
CVE-2025-0655,semgrep,0,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2025-0655,semgrep,1,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2025-0655,semgrep,2,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2025-0655,semgrep,3,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2022-24065,semgrep,0,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2022-24065,semgrep,1,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2022-24065,semgrep,2,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2022-24065,semgrep,3,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2021-23727,semgrep,0,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2021-23727,semgrep,1,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2021-23727,semgrep,2,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2021-23727,semgrep,3,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2021-21386,semgrep,0,refine,,548f37a35d7f8dd4,26b623d77a827839,2630,2455,True,7e8ba3ba9c229627,False
CVE-2021-21386,semgrep,1,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,7e8ba3ba9c229627,False
CVE-2021-21386,semgrep,2,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,7e8ba3ba9c229627,False
CVE-2021-21386,semgrep,3,,,26b623d77a827839,26b623d77a827839,2455,2455,False,7e8ba3ba9c229627,False
CVE-2022-38649,semgrep,0,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2022-38649,semgrep,1,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2022-38649,semgrep,2,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2022-38649,semgrep,3,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
